Time,Pulse,Heart Rate,Response Pad,Correct Response,
41.65,5.82336,0,0,0,
41.7,5.82422,0,0,0,
41.75,5.82513,0,0,0,
41.8,5.82605,0,0,0,
41.85,5.82697,0,0,0,
41.9,5.82788,0,0,0,
41.95,5.8288,0,0,0,
42,5.83001,0,0,0,
42.05,5.83093,0,0,0,
42.1,5.83215,0,0,0,
42.15,5.83337,0,0,0,
42.2,5.83486,0,0,0,
42.25,5.83612,0,0,0,
42.3,5.83763,0,0,0,
42.35,5.83895,0,0,0,
42.4,5.84033,0,0,0,
42.45,5.8416,0,0,0,
42.5,5.84262,0,0,0,
42.55,5.84375,0,0,0,
42.6,5.84497,0,0,0,
42.65,5.84648,0,0,0,
42.7,5.84771,0,0,0,
42.75,5.84899,0,0,0,
42.8,5.85037,0,0,0,
42.85,5.85152,0,0,0,
42.9,5.8526,0,0,0,
42.95,5.85352,0,0,0,
43,5.85457,0,0,0,
43.05,5.85555,0,0,0,
43.1,5.85656,0,0,0,
43.15,5.85748,0,0,0,
43.2,5.85864,0,0,0,
43.25,5.85946,0,0,0,
43.3,5.86053,0,0,0,
43.35,5.86175,0,0,0,
43.4,5.86308,0,0,0,
43.45,5.8645,0,0,0,
43.5,5.86602,0,0,0,
43.55,5.86758,0,0,0,
43.6,5.86908,0,0,0,
43.65,5.87076,0,0,0,
43.7,5.87239,0,0,0,
43.75,5.87396,0,0,0,
43.8,5.87578,0,0,0,
43.85,5.8773,0,0,0,
43.9,5.87883,0,0,0,
43.95,5.88015,0,0,0,
44,5.88159,0,0,0,
44.05,5.88311,0,0,0,
44.1,5.88455,0,0,0,
44.15,5.88593,0,0,0,
44.2,5.88768,0,0,0,
44.25,5.88951,0,0,0,
44.3,5.89105,0,0,0,
44.35,5.89256,0,0,0,
44.4,5.8941,0,0,0,
44.45,5.89543,0,0,0,
44.5,5.89657,0,0,0,
